,"﻿""Key""",Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body,asreview_group_id,asreview_label,asreview_time,asreview_note
2364,4NAWNNGB,journalArticle,2011.0,"Woodthorpe, Kate",Sustaining the contemporary cemetery: Implementing policy alongside conflicting perspectives and purpose,Mortality,,,10.1080/13576275.2011.586125,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84859097929&doi=10.1080%2F13576275.2011.586125&partnerID=40&md5=57070dcc46310648870eebe701ff9d5f,"Cemeteries garner considerable academic attention as anthropologists, landscapers, archaeologists, sociologists, geographers and historians examine their layout, purpose and use. Emerging from these studies is a body of literature that considers cemetery and burial ground design, memorialisation, mourning behaviour and 'dark tourism'. Beyond interdisciplinary journals such as Mortality and edited multi-disciplinary books however, the insight generated in this literature can be fragmented through publication in discipline specific periodicals. As a result cemeteries are often analysed and presented as places that contain, for example, design or tourism and heritage or emotion and mourning. Framed by concerns over the sustainability of cemeteries nationwide, this paper considers the contemporary English cemetery as a simultaneous space of emotion, commerce and community. Using data from an ethnographic case study of a cemetery in East London, it illustrates the contestation that can result from these concurrent contrasting interpretations. The paper concludes that care needs to be taken when implementing initiatives and policy to balance the varying demands and expectations of a cemetery's purpose and use. © 2011 Copyright Taylor and Francis Group, LLC.",2011,2025-12-16 16:11:12,2025-12-16 16:11:12,,259 - 276,,3,16,,,,,,,,,,,,,,,,,Type: Article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2364,1,2026-07-06 13:28:12,
1337,TA59PURK,journalArticle,2022.0,"Manu, Emmanuel Boadi; Kquofi, Steve; Issah, Mustapha","The impact of numinosity on the preservation of selected artefacts in the Manhyia Palace Museum, Ghana",Journal of the Institute of Conservation,,,10.1080/19455224.2022.2118142,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138702110&doi=10.1080%2F19455224.2022.2118142&partnerID=40&md5=60735b286a1094fb9cfab597bcffdec3,"The Manhyia Palace Museum in Kumasi, Ghana is popular for its outstanding exhibition of authentic cultural artefacts. However, these artefacts have always been associated with the beliefs, spirituality and philosophy of the Ashanti people and they are numinous or sacred objects venerated by both the museum's staff and its visitors. This article explores the phenomenon of numinosity surrounding selected objects in the collections and the impact this has on their preservation. It uses qualitative tools to explore case studies, including their detailed study, and interviews with people knowledgeable about their use and sacred status. A major finding the authors report is that numinous artefacts in the museum were not created as aesthetic objects but primarily for religious and utilitarian purposes that correlate with the devotion of the people involved. Their numinosity was also found to contribute to their preservation by protecting them from handling and use by visitors and museum personnel. The article is offered as a contribution to the literature both to stimulate similar research and widen the interests of those involved in the care of cultural heritage by situating such artefacts in cultural traditions that are arguably left largely outside the field of museology and yet are still to be fully explored in most parts of Africa. © 2022 Icon, The Institute of Conservation.",2022,2025-12-16 16:11:00,2025-12-16 16:11:00,,223 - 235,,3,45,,,,,,,,,,,,,,,,,Type: Article,,,,Museums; Authenticity; Museology; Exhibitions; Preservation; Tools; Cultural artifacts; Case-studies; Cultural heritages; Historic preservation; Personnel; Impact; Materials Handling; Ghana; Artifact; Cultural traditions; Numinosity; Phenomenological; Religious,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1337,1,2026-07-06 13:28:59,
2797,UTMQ3XDL,journalArticle,2022.0,"Manu, Emmanuel; Kquofi, Steve; Issah, Mustapha","The impact of numinosity on the preservation of selected artefacts in the Manhyia Palace Museum, Ghana",JOURNAL OF THE INSTITUTE OF CONSERVATION,,,10.1080/19455224.2022.2118142,,"The Manhyia Palace Museum in Kumasi, Ghana is popular for its outstanding exhibition of authentic cultural artefacts. However, these artefacts have always been associated with the beliefs, spirituality and philosophy of the Ashanti people and they are numinous or sacred objects venerated by both the museum's staff and its visitors. This article explores the phenomenon of numinosity surrounding selected objects in the collections and the impact this has on their preservation. It uses qualitative tools to explore case studies, including their detailed study, and interviews with people knowledgeable about their use and sacred status. A major finding the authors report is that numinous artefacts in the museum were not created as aesthetic objects but primarily for religious and utilitarian purposes that correlate with the devotion of the people involved. Their numinosity was also found to contribute to their preservation by protecting them from handling and use by visitors and museum personnel. The article is offered as a contribution to the literature both to stimulate similar research and widen the interests of those involved in the care of cultural heritage by situating such artefacts in cultural traditions that are arguably left largely outside the field of museology and yet are still to be fully explored in most parts of Africa.",2022-09-02,2025-12-16 16:11:49,2025-12-16 16:11:49,,223-235,,3,45,,,,,,,,,,,,,,,,,Type: Article,,,,museum; artefacts; authenticity; numinosity; phenomenological; religious,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1337,1,2026-07-06 13:28:59,
741,PNDGSCMG,journalArticle,2021.0,"Gardiner, Joy; Irving, Joan",Caring for Your Cherished Objects: THE WINTERTHUR GUIDE,,,,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105018542061&partnerID=40&md5=0c257cd45c2253e377d37327ce588ada,"Cherished objects and family heirlooms hold a special place in our lives. Whether they are personal letters, grandmother’s silverware, or the favorite stuffed animal from your childhood, these items all have significance and are part of your cultural heritage. Caring for Your Cherished Objects: The Winterthur Guide provides practical information about what you should and shouldn’t do to prolong the life of your objects, including advice about proper storage and display. The book will help you to assess your possessions, understand which objects are most vulnerable, and avoid the situations that will put them at more risk. Illustrations demonstrate the kinds of problems you may see on your own items or warning signs that indicate that some sort of action—whether preventive, conservative, or restorative—is warranted. Learn the difference between those terms. Sidebars in each chapter address the science behind the whys and hows to caring for the wide range of specific kinds of objects covered—from ephemera, documents, books, works of art on paper, photographs, and organic objects to textiles, ceramics, glass, metal objects, furniture, and frames. Included are the procedures that can be safely done by an owner as well as those that require the services of conservation professionals. So that you aren’t left to wander the Internet, a Resources section provides a list of reliable professional organizations as well as suggested readings, websites, and lists of suppliers to aid you in caring for your cherished objects. The authors of Caring for Your Cherished Objects are highly trained, experienced experts who have cared for thousands of precious objects and have a passion for the topic. In addition to caring for the collection at Winterthur Museum, Garden & Library, they teach, consult, and lecture on the care of cultural heritage to students, professionals, and the public. © 2021 The Henry Francis du Pont Winterthur Museum, Inc. All rights reserved.",2021,2025-12-16 16:10:52,2025-12-16 16:10:52,,1 - 156,,,,,,,,,,,,,,,,,,,,Type: Book,,,,Museums; Cultural heritages; Historic preservation; Learn+; Ceramic glass; Glass-metal; Information retrieval systems; Organic objects; Professional organization; Warning signs; Weaving; Work of art,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,741,1,2026-07-06 13:29:03,
1031,RSWX93GW,journalArticle,2022.0,"Jones, Siân; Yarrow, Thomas",THE OBJECT OF CONSERVATION: An Ethnography of Heritage Practice,,,,10.4324/9781315622385,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140169767&doi=10.4324%2F9781315622385&partnerID=40&md5=78e70005f5bb04622ba0ac6289a6602b,"The Object of Conservation examines how historic buildings, monuments and artefacts are cared for as valued embodiments of the past. It tells the fascinating story of the working lives of those involved in conservation through an ethnographic account of a national heritage agency. How are conservation objects made? What is the moral purpose of that making and what practical consequences flow from this? Revealing the hidden labour of keeping things as they are, the book highlights the ethical commitments and dilemmas involved in trying to care well. In doing so, it reveals how conservation objects are made literally to matter. Taking debates in the interdisciplinary field of heritage studies forward in important new directions, the book engages with themes of broader interest within the arts, humanities and social sciences, shedding new light on time, authenticity, modernity, materiality, expert knowledge and the politics of care. The Object of Conservation is a thought-provoking and engaging account that offers original insights for students, scholars, heritage professionals and others interested in the work of caring for the past. © 2022 Siân Jones and Thomas Yarrow.",2022,2025-12-16 16:10:57,2025-12-16 16:10:57,,1 - 248,,,,,,,,,,,,,,,,,,,,Type: Book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1031,1,2026-07-06 13:31:11,
1458,JBD737EH,journalArticle,2019.0,"Molina, Sarah",Sustaining the lives of art objects,AMA Journal of Ethics,,,10.1001/amajethics.2019.450,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066923161&doi=10.1001%2Famajethics.2019.450&partnerID=40&md5=fb1b53640929ea18c75e071065b102d0,This article explores the complex process of sustaining the lives of art objects and considers ways in which conservation efforts in art museums parallel cultural humility cultivation among health care professionals. Conservators and scientists at the Art Institute of Chicago grapple with a number of ethical questions that emerge when preserving and caring for objects with complicated histories and entangled networks of stakeholders. What follows is an examination of these issues in relation to objects in the Art Institute’s collection and the larger histories of art museums and medicine. © 2019 American Medical Association. All rights reserved.,2019,2025-12-16 16:11:02,2025-12-16 16:11:02,,450 - 454,,5,21,,,,,,,,,,,,,,,,,Type: Article,,,,Art; Museums; Humans; ethics; art; article; human; information center; literature; Culturally Competent Care; transcultural care; Metaphor; artifact; long term care; Artifacts; Illinois; Life Support Care; Life Support Systems; microclimate; scientist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1458,1,2026-07-06 13:32:07,
78,IPESFD76,journalArticle,2006.0,"Angus, Aline; Kite, Marion; Sturge, Theodore","General principles of care, storage and display",,,,10.4324/9780080454665-19,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85017994242&doi=10.4324%2F9780080454665-19&partnerID=40&md5=ca82cbfad6ab57c28e33098bc8eca3e4,"The book, Caring for the Past, Issues in Conservation for Archaeology and Museums (Pye, 2001), focuses on the practical concerns and ethical dilemmas of conservators having to treat objects in a variety of circumstances. Some of these are governed by the necessity to make the object fit for continued use rather than static museum display. Conservation processes which change the object or its environment and lead to the long-term survival of the object are discussed in relation to the original purpose or function of the object and also its current situation in a museum or collection. This book is essential reading for all conservators, and also for those considering the issues and treatments discussed in this chapter. © 2006 Elsevier Ltd. All rights reserved.",2006,2025-12-16 16:10:38,2025-12-16 16:10:38,,113 - 120,,,,,,,,,,,,,,,,,,,,Type: Book chapter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,1,2026-07-06 13:32:11,
1604,6CG9J8QT,journalArticle,2023.0,"Owczarek, Nina",PRIORITIZING PEOPLE IN ETHICAL DECISION-MAKING AND CARING FOR CULTURAL HERITAGE COLLECTIONS,,,,10.4324/b23092,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163547611&doi=10.4324%2Fb23092&partnerID=40&md5=6ed4c2257a9ae77945cd8ba0694f7d28,"While historically focusing on the object, the study of ethics in conservation has expanded to consider the human aspect of conservation work. This book offers a flexible framework to guide decision-making in line with this development, offering an inclusive, compassionate approach to collections care. This edited volume contributes theories and international examples for advancing conservation practice and providing best practice for the field that centers people in conservation of cultural heritage and collections care. The first part examines the ethical theory that underpins conservation decision-making by challenging outdated norms, introducing updated methods, and demonstrating new ways to approach compassionate collections care. The second part considers the challenges of human-centered ethics in conservation practice, while the final part provides real-world examples and case studies of these best practices in action, including successful challenges to colonial authority. By presenting both theoretical and practical aspects of prioritizing people, this volume establishes the need for rethinking conservation approaches while demonstrating how to do so effectively. Combining theory and practice, Prioritizing People in Ethical Decision-Making and Caring for Cultural Heritage Collections is valuable reading for conservation professionals, including collections managers, conservators, curators, and registrars. It will also benefit students working in Cultural Heritage Conservation, Museum studies, and Heritage Studies, as well as those taking courses in Art History and Anthropology. © 2023 selection and editorial matter, Nina Owczarek; individual chapters, the contributors.",2023,2025-12-16 16:11:04,2025-12-16 16:11:04,,1 - 204,,,,,,,,,,,,,,,,,,,,Type: Book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1604,1,2026-07-06 13:32:17,
2467,3MEUB8CU,journalArticle,2003.0,"Ashley-Smith, J",Caring for the past: Issues in conservation for archaeology and museums,STUDIES IN CONSERVATION,,,,,,2003,2025-12-16 16:11:44,2025-12-16 16:11:44,,284-285,,4,48,,,,,,,,,,,,,,,,,Type: Book Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2467,1,2026-07-06 13:32:21,
2631,2XAQZ8PK,journalArticle,2004.0,"Greene, V",Caring for the past: Issues in conservation for archaeology and museums.,JOURNAL OF THE AMERICAN INSTITUTE FOR CONSERVATION,,,10.2307/4129658,,,2004,2025-12-16 16:11:46,2025-12-16 16:11:46,,196-198,,2,43,,,,,,,,,,,,,,,,,Type: Book Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2467,1,2026-07-06 13:32:21,
898,DL57BQE8,journalArticle,2016.0,"Henderson, Jane; Nakamoto, Tanya",Dialogue in conservation decision-making,Studies in Conservation,,,10.1080/00393630.2016.1183106,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988369566&doi=10.1080%2F00393630.2016.1183106&partnerID=40&md5=81b647a3e8b4c3aed7434a7256e0134c,"An analysis of the impact of stakeholder consultation during the conservation decision-making processes is presented. Defining and finding opportunities for stakeholder communication within conservation work is an ethical necessity when working with cultural heritage, but the limits and practice of this necessity are less clear. Case studies are used to explore which aspects of the conservation process stakeholders are most likely to be consulted about, and reviews the impact of their views. It asks whether conservators have a preference in which decisions they are prepared to share with stakeholders across three aspects of conservation: the initial appraisal, treatment and the display or storage. Where consultation relates to treatment, conservators are more likely to fall back on their own technical authority except when those consulted are regarded as fellow professionals. Other categories of stakeholder such as artists, originating communities, and religious groups were found to be more constructively consulted on the understanding of the object and on care related to display and storage. Conservators should be offered more explicit guidance on the ethics of consultation, the aspects of consultation that they should engage with and on the ethical ways to deal with conflict arising from consultation. © 2016 IIC and the Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group.",2016,2025-12-16 16:10:54,2025-12-16 16:10:54,,67 - 78,,,61,,,,,,,,,,,,,,,,,Type: Article,,,,Decision making; Ethics; Communication; Consultation; Stakeholders; Cultural heritages; Historic preservation; Philosophical aspects; Decision making process; Religious groups; Stakeholder communications; Stakeholder consultation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,898,1,2026-07-06 13:32:24,
2654,ID5BU5WP,journalArticle,2016.0,"Henderson, Jane; Nakamoto, Tanya",Dialogue in conservation decision-making,STUDIES IN CONSERVATION,,,10.1080/00393630.2016.1183106,,"An analysis of the impact of stakeholder consultation during the conservation decision-making processes is presented. Defining and finding opportunities for stakeholder communication within conservation work is an ethical necessity when working with cultural heritage, but the limits and practice of this necessity are less clear. Case studies are used to explore which aspects of the conservation process stakeholders are most likely to be consulted about, and reviews the impact of their views. It asks whether conservators have a preference in which decisions they are prepared to share with stakeholders across three aspects of conservation: the initial appraisal, treatment and the display or storage. Where consultation relates to treatment, conservators are more likely to fall back on their own technical authority except when those consulted are regarded as fellow professionals. Other categories of stakeholder such as artists, originating communities, and religious groups were found to be more constructively consulted on the understanding of the object and on care related to display and storage. Conservators should be offered more explicit guidance on the ethics of consultation, the aspects of consultation that they should engage with and on the ethical ways to deal with conflict arising from consultation.",2016,2025-12-16 16:11:46,2025-12-16 16:11:46,,67-78,,"2, SI",61,,,,,,,,,,,,,,,,,Type: Article,,,,Ethics; Communication; Consultation; Decision-making; Stakeholders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,898,1,2026-07-06 13:32:24,
2871,CG8LTJGQ,journalArticle,2006.0,"Norwood, J",Caring for American Indian objects: A practical and cultural guide.,MUSEUM NEWS,,,,,,2006-04,2025-12-16 16:11:49,2025-12-16 16:11:49,,25-26,,2,85,,,,,,,,,,,,,,,,,Type: Book Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2871,1,2026-07-06 13:32:26,
1314,EN3GWR6E,journalArticle,2023.0,"Magnin, Emilie",Caring for the living: the conservation of performance art,Museums and Social Issues,,,10.1080/15596893.2024.2386348,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85204106561&doi=10.1080%2F15596893.2024.2386348&partnerID=40&md5=7cb74c860cb56c306cb16dc17a554f4f,"As many disciplines are beginning to reckon with their contributions to historical injustices, so conservation must acknowledge and reflect on the number of its practices that continue to reinforce colonial and imperial legacies. Though such work is currently taking place in ethnographic museums, rethinking conservation and repairing its harms should be the aim of the entire museum community. Using case studies drawn from performance art, this paper demonstrates how performance challenges traditional paradigms of institutional collecting and conservation, and calls for a rethinking of certain museum procedures. It proposes the emerging scholarship on performance art conservation as a potential force for an expanded definition of conservation that puts people at its center. To this end, it presents performance as not only a conservation object to be cared for, but also a tool to care with, reframing the aim of conservation as preserving the vitality of relationships between objects and communities. © 2024 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group.",2023,2025-12-16 16:11:00,2025-12-16 16:11:00,,133 - 146,,1-2,17,,,,,,,,,,,,,,,,,Type: Article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1314,1,2026-07-06 13:32:31,
2701,35G5Q3ZV,journalArticle,2005.0,"Kaminitz, MA",Caring fora American Indian objects: A practical and cultural guide.,JOURNAL OF THE AMERICAN INSTITUTE FOR CONSERVATION,,,,,,2005,2025-12-16 16:11:48,2025-12-16 16:11:48,,147-149,,2,44,,,,,,,,,,,,,,,,,Type: Book Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2701,1,2026-07-06 13:32:34,
3100,G5J5CF44,journalArticle,2021.0,"Wain, Alison; Sherring, Asti","Changeability, Variability, and Malleability: Sharing Perspectives on the Role of Change in Time-based Art and Utilitarian Machinery Conservation",STUDIES IN CONSERVATION,,,10.1080/00393630.2020.1860672,,"This paper explores concepts of changeability, variability, and malleability in the different heritage genres of time-based artworks and utilitarian machinery. Case studies bring to the surface differences in understandings, norms, and boundaries, but also demonstrate similarities between the two areas of practice, showing that they can be viewed as poles of practice within a shared field of theory and practice rather than as separate and unrelated endeavours. The key issues for all communities caring for changeable objects are how to preserve the intangible sensory, cultural, and immersive experiences created by change, and how the practical actions required to maintain this intangible heritage interact with concepts of authenticity, performativity, and intention. This paper explores how these relationships evolve as time and contexts change, and how best practice in the conservation of changeable objects must acknowledge and manage the tension between the activation that preserves intangible, embodied experience, and the static maintenance that preserves the tangible components of an object with minimal physical change. Viewing objects through the lens of change opens the door to the development of a new field of conservation expertise, one focused on the challenges and opportunities presented by an object's changeable qualities rather than by its original field of use. A lens of change has the capacity to draw together not only those working with time-based artworks and utilitarian machinery but also other communities of people caring for and activating changeable objects, such as horologists, roboticists, musicians, car enthusiasts, people activating historic costumes, and people managing still-active historic utilities such as water and transport infrastructure.",2021-11-17,2025-12-16 16:11:52,2025-12-16 16:11:52,,449-462,,8,66,,,,,,,,,,,,,,,,,Type: Article,,,,industrial heritage; conservation; authenticity; change; malleability; technology heritage; time-based art; Utilitarian machinery; variability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3100,1,2026-07-06 13:36:52,
1605,E9E2WULG,journalArticle,2025.0,"Owczarek, Nina; Hornbeck, Stephanie E.",Collaborative cultural recovery as relational care; الاسترداد الثقافي التعاوني بوصفه عنايةً علائقية; “作为关系性照护的合作文化修复”; “Recuperação cultural colaborativa como cuidado relacional”; “Recuperación cultural colaborativa como cuidado relacional”,Journal of the Institute of Conservation,,,10.1080/19455224.2025.2549992,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105023171510&doi=10.1080%2F19455224.2025.2549992&partnerID=40&md5=1afdb9385e6fe581335f522b9927af01,"As conservators increasingly acknowledge the relational nature of collections care and the impact of our professional work on people, the value of an object increasingly rests on the significance that people attribute to it. Conservators are providing transitive care for people through the act of caring for objects valued by the community, and efforts are strengthened by including community members in the care process. This approach foregrounds building trusting relationships in sometimes fraught circumstances through collaborative partnerships and long-term commitment. Our case studies illustrate diverse applications of an inclusive caregiving conservation approach. They include an archaeological textile conservation project, pre-disaster Alliance for Response initiatives, and Smithsonian Cultural Rescue Initiative heritage community support efforts in disaster contexts. Cultural recovery is an act of caring for people by caring for objects; including people who are not conservation specialists in this process exemplifies the relational nature of providing care. © 2025 Icon, The Institute of Conservation.",2025,2025-12-16 16:11:04,2025-12-16 16:11:04,,293 - 311,,3,48,,,,,,,,,,,,,,,,,Type: Article,,,,Conservation; Care; Case-studies; Behavioral research; Historic preservation; Personnel training; Recovery; Work; Processes; Care process; Collaborative conservation; Collaborative partnerships; Community; Crisis; Cultural recovery; Disasters; Diverse applications; Impact; Partnerships; Personnel Training; Textile conservation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1605,1,2026-07-06 13:36:59,
451,67G974JR,journalArticle,2025.0,"Coughlin, Mary",Caring for Plastics in Collections,,,,10.4324/9781003489658,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105004086976&doi=10.4324%2F9781003489658&partnerID=40&md5=9338b1d836f922197c73f51ae771c0de,"Caring for Plastics in Collections presents basic knowledge of plastics in an accessible way and empowers readers to determine the best approach for care, taking into account the resources at their institution and the needs of their specific collection. Drawing on the author’s 20 years of experience working as an Objects Conservator, the book defines what a plastic is; which plastics are most worrisome in collections and why; and how you can identify plastics, monitor them, and mitigate issues. Clarifying that there are guidelines that all plastics will benefit from, Coughlin outlines a gradual, consistent approach to care that is supplemented by 25 case studies from 10 institutions. Knowing that collection teams are too frequently understaffed and funds are often limited, the book approaches the care of plastics from both preventive conservation and collection management with a focus on low- cost, accessible options for monitoring potential degradation products; the use of readily available materials and resources; tips for designing condition surveys; and using existing database content to flag plastics that may pose a collection risk. In this way, collection stewards, such as collection managers, registrars, curators, archivists, and anyone tasked with caring for collections containing plastics, will be poised to make more informed decisions about storage, display, and loans. Caring for Plastics in Collections is an essential resource for professionals working in a range of institutions around the globe, including galleries, libraries, archives, historic houses, and museums. © 2025 Mary Coughlin.",2025,2025-12-16 16:10:46,2025-12-16 16:10:46,,1 - 188,,,,,,,,,,,,,,,,,,,,Type: Book,,,,Preventive conservation; Historic house; Case-studies; Conservation management; Collections management; Condition surveys; Database contents; Degradation products; Informed decision; Low-costs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,451,1,2026-07-06 13:37:14,
3086,U5RHDS4G,journalArticle,2016.0,"Veliz, Zahira; Aterido, Angel","The Art of Conservation V: Caring for the King's pictures: artists and restorers in the Spanish royal collection, 1576-1814",BURLINGTON MAGAZINE,,,,,,2016-06,2025-12-16 16:11:51,2025-12-16 16:11:51,,447-459,,1359,158,,,,,,,,,,,,,,,,,Type: Article,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3086,1,2026-07-06 13:37:18,
2037,YIWVR4UW,journalArticle,2023.0,"Southwick, Caitlin",COLLECTIONS MANAGEMENT AND CONSERVATION,,,,10.4324/9781003347606-9,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85179290409&doi=10.4324%2F9781003347606-9&partnerID=40&md5=0ae824f2d90ce03c17d721fe3cbc188a,"This chapter examines the systemic issues regarding sustainable practice in conservation and collections care. From economic unsustainability to “best” practice, the conservation field has multiple hurdles to overcome in making active change in the face of the climate crisis. However, conservators are uniquely equipped to deal with this issue. By unpacking the fundamental values of conservation and examining practices in holistic terms, conservation can be at the heart of preserving our heritage in a truly sustainable way. © 2024 selection and editorial matter, Nick Merriman; individual chapters, the contributors.",2023,2025-12-16 16:11:08,2025-12-16 16:11:08,,118 - 141,,,,,,,,,,,,,,,,,,,,Type: Book chapter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2037,1,2026-07-06 13:37:48,
2549,HD9HG7GW,journalArticle,2023.0,"Dahyoung, Chung",CARING FOR EXHIBITIONS AND ART MUSEUM: `YOUNG KOREAN ARTISTS 2023: ANNOTATING THE MUSEUM',SPACE,,,,,,2023-07,2025-12-16 16:11:45,2025-12-16 16:11:45,,88-95,,668,,,,,,,,,,,,,,,,,,Type: Editorial Material,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2549,1,2026-07-06 13:38:11,
807,QGK5EAHM,journalArticle,2023.0,"Gordon, Rebecca",Indigenous Storywork as an Ethical Guide for Caring With Social Practice Artists,,,,10.4324/b23092-4,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163495094&doi=10.4324%2Fb23092-4&partnerID=40&md5=050a2bdcda56c8aa856edec697884992,"Inspired by Jo-ann Archibald’s story research and her development of an Indigenous theoretical, methodological, and pedagogical framework (2008), the four principles of respect, responsibility, reverence, and reciprocity are proposed in this chapter as an ethical guide for conservators working with social practice art. These four principles are addressed in turn and explored in relation to the collaborative art project In/Visible Fields (2018), led by Labern and Lloyd of the drawing shed, hosted across the housing estates of Attlee Terrace and The Drive, Walthamstow, East London. Social practice art, which inherently operates outside the museum framework, will enable the hierarchical structures of knowledge creation and production to be challenged, simultaneously prompting questions about the role and enactment of conservation practice. Often falling outside of the dominant institutional story, how can the processes, networks, creativity, and artworks of social practice art be cared for by making the conservation researcher “story-ready” (Archibald et al., 2019)? This chapter takes a decolonizing approach (Smith, 2012), asserting relational knowledge (Hollingsworth, 1994) and the importance of building relationships through a spirit of deep listening. Focusing on encounters with artists and their co-producers, conservation ethics and radical infrastructure of care are imagined. © 2023 selection and editorial matter, Nina Owczarek; individual chapters, the contributors.",2023,2025-12-16 16:10:54,2025-12-16 16:10:54,,24 - 41,,,,,,,,,,,,,,,,,,,,Type: Book chapter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,807,1,2026-07-06 13:38:52,
2822,EBXUHD86,journalArticle,2021.0,"Mestre, Francisco Javier Jover",Archaeological Museum of Alcoy (1945-2020). 75 years caring for our heritage,TRABAJOS DE PREHISTORIA,,,,,,2021-12,2025-12-16 16:11:49,2025-12-16 16:11:49,,383-384,,2,78,,,,,,,,,,,,,,,,,Type: Book Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2822,1,2026-07-06 13:38:54,
