,"﻿""Key""",Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body,asreview_group_id,asreview_label,asreview_time,asreview_note
425,5TTIQDPS,journalArticle,2024.0,"Colomer, Laia Domingo; Schmitt, Edwin","MAPPING MEMORIALISATION OF PANDEMIC EXPERIENCES: Care, stewardship and guardianship",,,,10.4324/9781003139485-5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85210692197&doi=10.4324%2F9781003139485-5&partnerID=40&md5=0469a7714839688d49ac34f90659c820,"Many spontaneous memorials emerged worldwide after COVID-19, followed by national and local authorities organising official periods of public mourning. In the scholarly context of memory studies, these rituals are framed as memorialisation processes. Between October and December 2020, we systematically mapped these memorials and categorised them into ceremonies, monuments, cybermemorials or public protests. This chapter introduces this mapping as an example of the cultural heritage of trauma and further explores its impact on social well-being and political dimensions. This exercise is to be understood as the seed for future scholarly research on the memorialisation of the COVID-19 pandemic, a material guide for museum curators collecting on coronavirus impacts or a database for any exhibition on the topic. Drawing on the ethics of care, we have finally reflected on the ethics embedded in all these unfolding processes, from the occurrence of the mourning rituals to the fact that some of these expressions of loss and grief might finally be transformed into the cultural heritage of COVID-19 pandemic trauma. © 2024 selection and editorial matter, Alexandra Bounia and Andrea Witcomb; individual chapters, the contributors.",2024,2025-12-16 16:10:46,2025-12-16 16:10:46,,61 - 79,,,,,,,,,,,,,,,,,,,,Type: Book chapter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,425,1,2026-07-06 14:55:56,
384,N6C6Z4YF,journalArticle,2016.0,"Chitty, Gill","Heritage, conservation and communities: Engagement, participation and capacity building",,,,10.4324/9781315586663,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85024906742&doi=10.4324%2F9781315586663&partnerID=40&md5=e871a56f1a99033e6495a8c20ede822b,"Public participation and local community involvement have taken centre stage in heritage practice in recent decades. In contrast with this established position in wider heritage work, public engagement with conservation practice is less well developed. The focus here is on conservation as the practical care of material cultural heritage, with all its associated significance for local people. How can we be more successful in building capacity for local ownership and leadership of heritage conservation projects, as well as improving participative involvement in decisions and in practice? This book presents current research and practice in community-led conservation. It illustrates that outcomes of locally-led, active participation show demonstrable social, educational and personal benefits for participants. Bringing together UK and international case studies, the book combines analysis of theoretical and applied approaches, exploring the lived experiences of conservation projects in and with different communities. Responding to the need for deeper understanding of the outcomes of heritage conservation, it examines the engagement of local people and communities beyond the expert and specialist domain. Highlighting the advances in this important aspect of contemporary heritage practice, this book is a key resource for practitioners in heritage studies, conservation and heritage management. It is also relevant for the practising professional, student or university researcher in an emerging field that overarches professional and academic practice. © 2017 selection and editorial matter, Gill Chitty.",2016,2025-12-16 16:10:44,2025-12-16 16:10:44,,1 - 304,,,,,,,,,,,,,,,,,,,,Type: Book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,384,1,2026-07-06 14:55:59,
2446,VTUJTJSG,journalArticle,2025.0,,Well-Being and Art Museums,,,,10.4324/9781003497240-29,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105024155170&doi=10.4324%2F9781003497240-29&partnerID=40&md5=3c064745c00826b108ac26d9133ab90b,"This chapter examines how art museums are evolving to address well-being among youth through two case studies from Asia. The Yokohama Museum of Art in Japan presents a unique program targeting hikikomori youth-young people experiencing extreme social withdrawal. Through various art activities, the museum created safe and welcoming spaces that helped these individuals gradually rebuild their self-confidence and social connections. The second case study from National Gallery Singapore details the pilot of a six-session Strength Through Art (stART) program designed to foster emotional resilience among 12-15 year-old students. Both cases also demonstrate how art museums can partner with various stakeholders to support the mental well-being of young people. The chapter concludes with broader discussions of how art museums can serve as spaces of care for youth audiences. It examines how museums' unique environments and audience-centered approaches provide much-needed avenues for youth to engage in looking at art, talking about art and making art in ways that support self-awareness and emotional regulation, encourage shared understanding and social connection. Together, these perspectives illuminate how art museums can expand their roles as active partners in nurturing the emotional and psychological well-being of the next generation. © 2026 selection and editorial matter, Heather Maxson, Susan McCullough, and Ai Wee Seow; individual chapters, the contributors. All rights reserved.",2025,2025-12-16 16:11:13,2025-12-16 16:11:13,,151 - 000,,,,,,,,,,,,,,,,,,,,Type: Book chapter,,,,Art museums; Museums; Well being; Young peoples; Case-studies; National Gallery; Program targeting; Self awareness; Shared understanding; Singapore; Social behavior; Social connection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2446,1,2026-07-06 14:56:06,
694,HJ5XS5NN,journalArticle,2022.0,"Forsko, Samantha",Practical Approaches to Collections Care,,,,10.4324/9781003188865,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85178642389&doi=10.4324%2F9781003188865&partnerID=40&md5=25b23f16db4a66f31a6d3c8231cd2ad7,"While cultural heritage practitioners and caretakers are often intimidated by ""best practices,"" Practical Approaches to Collections Care helps to alleviate those concerns, offering a stepped approach to preservation encompassing a variety of collections care programs. The author, drawing on over a decade of experience working in libraries, museums, archives, and other historic sites, and specifically building off of her work as a Preservation Specialist at the Conservation Center for Art & Historic Artifacts, discusses realistic, efficient, and sustainable approaches to collection housing, space planning, environmental management, facilities care, emergency preparedness, and much more. Giving examples of implementation and easy-to-follow guides that will allow readers to start from scratch or improve an already existing program, Forsko demonstrates how preservation can become a component of any collections care program. Encouraging the reader to start by taking small, manageable steps, the author shows that even the smallest of actions can make a difference that will ultimately help to preserve collections and ensure that the world’s heritage will remain intact for future generations. Practical Approaches to Collections Care takes an applied approach, making suggestions the reader can immediately implement no matter the size of their institution. It is an essential tool for stewards of cultural heritage collections, particularly collections managers, registrars, and preservation specialists. It will also be useful to students who are engaged in the study of collections care. © 2023 Samantha Forsko. All rights reserved.",2022,2025-12-16 16:10:51,2025-12-16 16:10:51,,1 - 186,,,,,,,,,,,,,,,,,,,,Type: Book,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,694,1,2026-07-06 14:56:09,
424,F36IG5M4,journalArticle,2024.0,"Colomer, Laia Domingo; González-Marcén, Paloma; Picazo, Marina Ferreras",FEMINIST ARCHAEOLOGY FOR THE PRESENT: Maintenance activities and social caring,,,,10.4324/9781003257530-5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85210618839&doi=10.4324%2F9781003257530-5&partnerID=40&md5=e2430c956ac11b79c17de39ab0e9908c,"This chapter introduces the notion of maintenance activities as an epistemological category that frames our approach to applied research as a feminist practice when exploring the past from and for the present. Drawing on the feminist political movement, we understand archaeology as a practice that develops forms of engendering research, practice, and behaviours in academic milieus. It also formulates new knowledge of the past that contributes towards changing patriarchal visions of the present through its implementation in education and heritage milieus by the Pastwomen network. Furthermore, this chapter incorporates the ethics of care as an ontological and epistemological notion that helps to better frame and complement the notion of maintenance activities. To illustrate this, some examples are provided from our research work in the fields of archaeology, heritage studies, and specifically, the dissemination project carried out by the Pastwomen network. © 2025 selection and editorial matter, Marianne Moen and Unn Pedersen; individual chapters, the contributors.",2024,2025-12-16 16:10:46,2025-12-16 16:10:46,,30 - 44,,,,,,,,,,,,,,,,,,,,Type: Book chapter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,424,1,2026-07-06 14:57:20,
531,MCCI52E7,journalArticle,2022.0,"Dekker, Annet; Archey, Karen; Blair, Ulanda; Cook, Sarah; Magalhães, Ana Gonçalves; Himmelsbach, Sabine; Nichole, Kelani; Paul, Christiane; Paunu, Henna",A ROUNDTABLE: CURATORIAL PERSPECTIVES ON COLLECTING TIME-BASED MEDIA ART,,,,10.4324/9781003034865-4,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85173308215&doi=10.4324%2F9781003034865-4&partnerID=40&md5=8e3246bb44ece1e31a41b61182ed2efb,"This chapter focuses on how curators are becoming more closely connected and involved in preservation practice, particularly when it involves time-based media artworks. While this happens at various stages, from production to exhibition and collecting, the conversation was aimed at the acquisition process and collection practice of time-based media art. The chapter presents a summary of the discussion focusing on some of the key commonalities, such as the need for technical and curatorial knowledge, the usefulness and obstructions of standardization, the benefits of collaboration, and the potentialities of shared and distributed networks of knowledge and care. The diversity of documentation strategies emphasizes how time-based media is changing the museum practice in which the traditional functions of curator and conservator are shifting, as the care of an artwork is not only about repairing or even envisioning future change, but also about following and documenting its evolving “collection life”. © 2023 selection and editorial matter, Deena Engel and Joanna Phillips; individual chapters, the contributors.",2022,2025-12-16 16:10:49,2025-12-16 16:10:49,,28 - 38,,,,,,,,,,,,,,,,,,,,Type: Book chapter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,531,1,2026-07-06 15:31:50,
1649,AEHMZ66J,journalArticle,2024.0,"Pegno, Marianna; Souffrant, Kantara",Institutional Change for Museums: A Practical Guide to Creating Polyvocal Spaces,,,,10.4324/9781003365280,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85202861635&doi=10.4324%2F9781003365280&partnerID=40&md5=28e757a33e2c7659ce1affa1bbf19b7f,"Institutional Change for Museums: A Practical Guide to Creating Polyvocal Spaces is an edited volume borne of two questions: (1) What do we want from museums? (2) Why do we (still) care to fight for these visions? Rooted in the concept of polyvocality—the blending of multiple perspectives, experiences, and ideas, where differences and conflicting truths are welcome—this co-written introduction explores these questions and the future potential of museums. The authors begin with their personal “museum journeys.” Representing individuals who grew up going to museums and those who stepped into museums later in life, the journeys challenge singular, universal, homogenous museum practice. The narratives reflect the burgeoning potentials of museums and the authors’ complicated experiences with these institutions while modeling a polyvocal practice and mirror the book’s tone: one that honors multiple truths in various written styles. Following the museum journeys is a theoretical review of polyvocality. The introduction concludes by summarizing the three sections in the volume: Part I, “Interrogating and Redressing Colonial Legacies”; Part II, “Rethinking Structures and Operations”; and Part III, “Agency and Ethics of Care.” Collectively, these sections argue for polyvocality as a necessary concept vital to the future of museums. © 2025 selection and editorial matter, Marianna Pegno and Kantara Souffrant; individual chapters, the contributors.",2024,2025-12-16 16:11:04,2025-12-16 16:11:04,,1 - 158,,,,,,,,,,,,,,,,,,,,Type: Book,,,,Museums; Blending; Institutional change; Multiple perspectives; Practical guide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1649,1,2026-07-06 15:31:56,
1000,Q3YIZHMQ,journalArticle,2022.0,"Jarczyk, Agathe; Oleksik, Peter",CARING FOR ANALOG AND DIGITAL VIDEO ART,,,,10.4324/9781003034865-22,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85173365781&doi=10.4324%2F9781003034865-22&partnerID=40&md5=63838ca5e0d6b2e15fd371c83401b2d4,"Video artworks comprise the majority of time-based media artworks in museum collections due to the long and rich history of artists engaging with this medium. This chapter explores the history of video as an artistic medium, gives a short insight on collecting practices, and offers practical advice on the long-term care of this volatile material in a collection. Collection care of time-based media artworks is an ongoing process with a number of important key moments. Acquisition and intake lay the groundwork for creating comprehensive documentation on the concept, production, and display of video artworks. Automated critical viewing is possible with software tools that analyze the video and audio stream and flag certain elements that it has been configured to identify. In the process of digitization, time base correctors (TBCs) are usually required for all analog formats to stabilize the analog signal. A TBC buffers the unstable input analog signal and sends out a stabilized analog signal as a result. © 2023 selection and editorial matter, Deena Engel and Joanna Phillips; individual chapters, the contributors.",2022,2025-12-16 16:10:57,2025-12-16 16:10:57,,269 - 316,,,,,,,,,,,,,,,,,,,,Type: Book chapter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,1,2026-07-06 15:31:58,
1128,JEAESEYU,journalArticle,2022.0,"Kramer, Lia; Nichols, Alexandra; Anderson, Mollie; Kennedy, Nora W.; López, Lorena Ramírez; Wharton, Glenn",INSTITUTIONAL ASSESSMENTS AND COLLECTION SURVEYS FOR TIME-BASED MEDIA CONSERVATION,,,,10.4324/9781003034865-5,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85173400897&doi=10.4324%2F9781003034865-5&partnerID=40&md5=2271fef5c5b39f6540cf47e108435614,"This chapter deals with traditional methods developed for cultural heritage institutions and how they can be adapted to serve the unique needs of time-based media (TBM) collections. It then provide guidelines for planning and executing institutional assessments and collection surveys, along with implementing recommendations in the final report. A TBM institutional assessment guides an organization toward developing strategies for improved care and display of TBM artworks. The assessment helps staff focus efforts on the immediate needs of the collection, such as obtaining master-quality files or backing up artist-provided materials, as well as achieve longer-term goals, such as establishing permanent staff positions, creating a TBM conservation lab, or building a digital repository. A registration and cataloging review for TBM artworks verifies that the institution owns all the components that are necessary to preserve and display the works and that these components are consistently cataloged in the institution’s collection management system and tracked with locations. © 2023 selection and editorial matter, Deena Engel and Joanna Phillips; individual chapters, the contributors.",2022,2025-12-16 16:10:58,2025-12-16 16:10:58,,39 - 66,,,,,,,,,,,,,,,,,,,,Type: Book chapter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1128,1,2026-07-06 15:34:25,
1650,9W43BCX6,journalArticle,2024.0,"Pegno, Marianna; Souffrant, Kantara",Introduction,,,,10.4324/9781003365280-1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85202823513&doi=10.4324%2F9781003365280-1&partnerID=40&md5=dc8d9a38567d0420bfcfb8dcfa0034e7,"Institutional Change for Museums: A Practical Guide to Creating Polyvocal Spaces is an edited volume borne of two questions: (1) What do we want from museums? (2) Why do we (still) care to fight for these visions? Rooted in the concept of polyvocality—the blending of multiple perspectives, experiences, and ideas, where differences and conflicting truths are welcome—this co-written introduction explores these questions and the future potential of museums. The authors begin with their personal “museum journeys.” Representing individuals who grew up going to museums and those who stepped into museums later in life, the journeys challenge singular, universal, homogenous museum practice. The narratives reflect the burgeoning potentials of museums and the authors’ complicated experiences with these institutions while modeling a polyvocal practice and mirror the book’s tone: one that honors multiple truths in various written styles. Following the museum journeys is a theoretical review of polyvocality. The introduction concludes by summarizing the three sections in the volume: Part I, “Interrogating and Redressing Colonial Legacies”; Part II, “Rethinking Structures and Operations”; and Part III, “Agency and Ethics of Care.” Collectively, these sections argue for polyvocality as a necessary concept vital to the future of museums. © 2025 selection and editorial matter, Marianna Pegno and Kantara Souffrant; individual chapters, the contributors.",2024,2025-12-16 16:11:04,2025-12-16 16:11:04,,1 - 12,,,,,,,,,,,,,,,,,,,,Type: Editorial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1650,1,2026-07-06 15:34:32,
